         481573117 function calls (477158168 primitive calls) in 1291.467 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4569    0.018    0.000    0.123    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\_hoverinfo.py:6(__init__)
    92620    0.018    0.000    0.018    0.000 <frozen importlib._bootstrap>:288(cb)
     9138    0.017    0.000    0.023    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1338(__init__)
      837    0.017    0.000    0.017    0.000 {built-in method charmap_encode}
        1    0.016    0.016    0.016    0.016 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     4560    0.015    0.000    0.027    0.000 C:\Python34\lib\site-packages\plotly\validators\layout\shape\_path.py:6(__init__)
     9200    0.015    0.000    0.015    0.000 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\initialSolution\initialSolution.py:48(<listcomp>)
     4569    0.015    0.000    0.030    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\_autocolorscale.py:6(__init__)
    86895    0.015    0.000    0.015    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:512(validate_coerce)
    50278    0.015    0.000    0.019    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:3330(_send_prop_set)
     4569    0.015    0.000    0.042    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\_tickmode.py:6(__init__)
     9138    0.014    0.000    0.021    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1217(__init__)
    96171    0.014    0.000    0.014    0.000 {built-in method acquire_lock}
     4569    0.014    0.000    0.025    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\_color.py:6(__init__)
     4569    0.014    0.000    0.050    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\gradient\_type.py:6(__init__)
     7839    0.014    0.000    0.014    0.000 {method 'join' of 'str' objects}
     4569    0.014    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\textfont\_family.py:6(__init__)
     4569    0.014    0.000    0.028    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\unselected\marker\_opacity.py:6(__init__)
     1318    0.014    0.000    0.196    0.000 <frozen importlib._bootstrap>:2016(find_spec)
       80    0.014    0.000    0.014    0.000 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:107(<listcomp>)
     4569    0.014    0.000    0.028    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\line\_autocolorscale.py:6(__init__)
    97356    0.013    0.000    0.013    0.000 {built-in method release_lock}
     4569    0.013    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\tickfont\_family.py:6(__init__)
     9144    0.013    0.000    0.055    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:46(<listcomp>)
     9129    0.013    0.000    0.539    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1096(vc_scalar)
     4569    0.013    0.000    0.089    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:3658(__init__)
     4569    0.013    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\hoverlabel\font\_family.py:6(__init__)
     4569    0.013    0.000    0.065    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\_textposition.py:6(__init__)
     4569    0.013    0.000    0.036    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\_ticks.py:6(__init__)
     4569    0.013    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\titlefont\_family.py:6(__init__)
     4569    0.013    0.000    0.153    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\tickfont\_color.py:6(__init__)
    50229    0.013    0.000    0.013    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1546(validate_coerce)
        1    0.013    0.013    0.013    0.013 {built-in method load_dynamic}
     4569    0.013    0.000    0.031    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\_dtick.py:6(__init__)
     4569    0.013    0.000    0.027    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\selected\marker\_opacity.py:6(__init__)
     4569    0.013    0.000    0.025    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\_mode.py:6(__init__)
     4569    0.013    0.000    0.148    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\_fill.py:6(__init__)
     4569    0.013    0.000    0.027    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\stream\_token.py:6(__init__)
     4569    0.013    0.000    0.024    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\line\_color.py:6(__init__)
     4569    0.013    0.000    0.029    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\stream\_maxpoints.py:6(__init__)
     4569    0.013    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\line\_dash.py:6(__init__)
     4569    0.013    0.000    0.236    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\_bgcolor.py:6(__init__)
     4570    0.012    0.000    0.013    0.000 C:\Python34\lib\uuid.py:104(__init__)
     8208    0.012    0.000    0.012    0.000 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\mutation\mutation.py:74(<listcomp>)
     9135    0.012    0.000    0.033    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:374(build_regex_replacement)
     4569    0.012    0.000    0.027    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\hoverlabel\_bgcolor.py:6(__init__)
     4569    0.012    0.000    0.027    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\titlefont\_color.py:6(__init__)
     4569    0.012    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\hoverlabel\_namelength.py:6(__init__)
     1162    0.012    0.000    0.287    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
    18281    0.012    0.000    0.058    0.000 C:\Python34\lib\site-packages\pandas\core\dtypes\common.py:297(is_datetime64_dtype)
     4569    0.012    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\textfont\_color.py:6(__init__)
     4569    0.012    0.000    0.027    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\selected\marker\_color.py:6(__init__)
     4569    0.012    0.000    0.025    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\line\_smoothing.py:6(__init__)
     4569    0.012    0.000    0.024    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\error_y\_valueminus.py:6(__init__)
     4569    0.012    0.000    0.022    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\_colorscale.py:6(__init__)
     4569    0.012    0.000    0.030    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\hoverlabel\font\_size.py:6(__init__)
     4569    0.011    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\gradient\_color.py:6(__init__)
     4569    0.011    0.000    0.058    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\line\_shape.py:6(__init__)
     4569    0.011    0.000    0.028    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\hoverlabel\font\_color.py:6(__init__)
     1139    0.011    0.000    1.417    0.001 <frozen importlib._bootstrap>:1534(get_code)
     4569    0.011    0.000    0.056    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\_exponentformat.py:8(__init__)
     4569    0.011    0.000    0.046    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\error_y\_type.py:6(__init__)
     4569    0.011    0.000    0.026    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\unselected\marker\_color.py:6(__init__)
